day_of_week,time_of_day,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,month,year
1,2,7,-0.40415257172143515,1.0557200377359357,-0.670404888630317,1.2973623381805461,-1.552441361361944,-1.552441361361944,0.6120296307534716,-0.008383621282076176,-0.032545785937489934,-0.2690628649739063,1,24,1.1573842307748827,9,0
1,2,7,0.27657226415719927,-0.24976309983002773,-0.1839671496426316,1.3073784030801747,-1.552441361361944,-1.552441361361944,0.6925361824681658,-0.008383621282076176,-0.032545785937489934,0.6313476614251,1,2,0.640677320108114,9,0
1,2,7,-0.4996928995640505,-0.30910324244666243,-0.1839671496426316,1.2973623381805461,-1.1633337526316754,-1.1633337526316754,0.7089356652248601,-0.008383621282076176,-0.032545785937489934,1.017237887024674,1,19,0.7667156433125444,9,0
1,0,7,-1.610349210734454,-0.30910324244666243,-0.1839671496426316,1.2973623381805461,0.00398907355913092,0.00398907355913092,0.7499343721166017,-0.008383621282076176,-0.032545785937489934,1.017237887024674,1,19,0.8967711242286699,9,0
1,0,7,1.506653985130872,-0.3684433850632971,-0.1839671496426316,1.2973623381805461,0.7822042910196684,0.7822042910196684,0.8252229065905252,-0.008383621282076176,-0.032545785937489934,0.6313476614251,1,2,0.8425394951207874,9,0
1,0,7,-1.5745215877934733,-0.3684433850632971,-0.1839671496426316,1.2873462732809176,0.3930966822893997,0.3930966822893997,0.8684579065854551,-0.008383621282076176,-0.032545785937489934,-1.272377451532799,0,27,0.9746035548927604,9,0
1,0,7,0.3482275100391608,-0.42778352767993183,-0.1839671496426316,1.2873462732809176,0.7822042910196684,0.7822042910196684,0.9765454065727711,-0.008383621282076176,-0.032545785937489934,-1.272377451532799,0,27,1.1769678746193957,9,0
1,0,7,0.14520431337360318,-0.42778352767993183,-0.1839671496426316,1.2773302083812892,0.7822042910196684,0.7822042910196684,1.027980147946046,-0.008383621282076176,-0.032545785937489934,-1.272377451532799,0,27,1.3933922463369637,9,0
1,1,7,-0.42803765368208896,-0.4871236702965665,-0.1839671496426316,1.2773302083812892,0.3930966822893997,0.3930966822893997,1.048852216909112,-0.008383621282076176,-0.032545785937489934,-0.7835831657733385,1,4,1.2809118304095037,9,0
1,1,7,0.07354906749164165,-0.4871236702965665,-0.1839671496426316,1.2673141434816606,-0.7742261439014065,-0.7742261439014065,0.9713273893320046,-0.008383621282076176,-0.032545785937489934,-0.7835831657733385,1,4,0.76822207745443,9,0
1,1,7,1.0528374278784491,-0.5464638129132012,-0.1839671496426316,1.2673141434816606,1.1713118997499372,1.1713118997499372,0.8125505790058084,-0.008383621282076176,-0.032545785937489934,-0.7835831657733385,1,4,0.15008193456736263,9,0
1,1,7,-0.05781888329195446,-0.5464638129132012,-0.1839671496426316,1.2673141434816606,0.00398907355913092,0.00398907355913092,0.6940270445369551,-0.008383621282076176,-0.032545785937489934,-1.272377451532799,0,27,-0.22903732447385253,9,0
1,3,7,-0.3205547848591467,-0.6058039555298359,0.3024705893450538,1.2572980785820322,-0.3851185351711378,-0.3851185351711378,0.6366288548885192,-0.008383621282076176,-0.032545785937489934,-1.272377451532799,0,27,-0.4414445384797254,9,0
1,3,7,-1.634234292695108,-0.6058039555298359,0.3024705893450538,1.2572980785820322,0.7822042910196684,0.7822042910196684,0.5285413549012031,-0.008383621282076176,-0.032545785937489934,-1.272377451532799,0,27,-0.859228940496005,9,0
1,3,7,0.37211259199981467,-0.6651440981464706,0.3024705893450538,1.2472820136824037,0.00398907355913092,0.00398907355913092,0.401072648019606,-0.008383621282076176,-0.032545785937489934,-1.272377451532799,0,27,-1.1434428485984258,9,0
1,3,7,-1.156532653482031,-0.6651440981464706,0.3024705893450538,1.2472820136824037,-1.1633337526316754,-1.1633337526316754,0.33994730319919286,-0.008383621282076176,-0.032545785937489934,-1.272377451532799,0,27,-1.3729229828790024,9,0
1,3,7,0.03772144455066089,-0.7244842407631054,0.3024705893450538,1.2472820136824037,0.3930966822893997,0.3930966822893997,0.2534773032093417,-0.008383621282076176,-0.032545785937489934,-1.272377451532799,0,27,-1.4658197549619492,9,0
